Date,,TORAH,KETUVIM/Writings,BESORA,Day of Week,Month,Day,,,
2/1/27,MISHPATIM,Exodus 22:4-26,Psalm 87,John 19,Monday,February,1,,,
2/2/27,MISHPATIM,Exodus 22:27-23:5,Psalm 88,John 20,Tuesday,February,2,,,
2/3/27,MISHPATIM,Exodus 23:6-19,Psalm 89,John 21,Wednesday,February,3,,,
2/4/27,MISHPATIM,Exodus 23:20-25,Psalm 90,Acts 1,Thursday,February,4,,,
2/5/27,MISHPATIM,Exodus 23:26-24:18,"Jeremiah 34:8-22, 33:25-26",John 7:14-24,Friday,February,5,,,
2/6/27,,,,,Saturday,February,6,,,
2/7/27,TERUMAH,Exodus 25:1-30 ,Psalm 91,Acts 2,Sunday,February,7,,,
2/8/27,TERUMAH,Exodus 25:31-26:14,Psalm 92,Acts 3,Monday,February,8,,,
2/9/27,TERUMAH,Exodus 26:15-30,Psalm 93,Acts 4,Tuesday,February,9,,,
2/10/27,TERUMAH,Exodus 26:31-37,Psalm 94,Acts 5,Wednesday,February,10,,,
2/11/27,TERUMAH,Exodus 27:1-8,Psalm 95,Acts 6,Thursday,February,11,,,
2/12/27,TERUMAH,"Exodus 27:9-19, 30:11-16","HAF. 2 Kings 12:1-17, Isaiah 66:5-24",Mark 12:41-44,Friday,February,12,,,
2/13/27,,,,,Saturday,February,13,,,
2/14/27,TETZAVEH,Exodus 27:20-28:30,Psalm 96 & 97,Acts 7,Sunday,February,14,,,
2/15/27,TETZAVEH,Exodus 28:31-43,Psalm 98 & 99,Acts 8,Monday,February,15,,,
2/16/27,TETZAVEH,Exodus 29:1-18,Psalm 100 & 101,Acts 9,Tuesday,February,16,,,
2/17/27,TETZAVEH,Exodus 29:19-37,Psalm 102 ,Acts 10,Wednesday,February,17,,,
2/18/27,TETZAVEH,Exodus 29:38-46,Psalm 103,Acts 11,Thursday,February,18,,,
2/19/27,TETZAVEH,Exodus 30:1-10 MAF:Deut 25:17-19,HAF 1 Sam15:2-34,Revelation 6:9-7:8,Friday,February,19,,,
2/20/27,,,SHABBAT ZACHOR,,Saturday,February,20,,,
2/21/27,KI TISA,Exodus 30:11-31:17,Esther 1-2,Acts 12,Sunday,February,21,,,
2/22/27,KI TISA,Exodus 31:18-33:11,Esther 3-4,Acts 13,Monday,February,22,,,
2/23/27,KI TISA,Exodus 33:12-23,Esther 5-6,Acts 14,Tuesday,February,23,,,
2/24/27,KI TISA,Exodus 34:1-9,Esther 7-8,Acts 15,Wednesday,February,24,,,
2/25/27,KI TISA,Exodus 34:10-26,Esther 9-10,Acts 16,Thursday,February,25,,,
2/26/27,KI TISA,Exodus 34:27-35,HAF: 1 Kings 18:1-39,John 8:1-11,Friday,February,26,,,
2/27/27,,,SHABBAT PARAH,,Saturday,February,27,,,
2/28/27,VAYYAKHEL,Exodus 35:1-29,Psalm 104 & 105,Acts 17,Sunday,February,28,,,
3/1/27,VAYYAKHEL,Exodus 35:30-36:7,Psalm 106,Acts 18,Monday,March,1,,,
3/2/27,VAYYAKHEL,Exodus 36:8-19,Psalm 107,Acts 19,Tuesday,March,2,,,
3/3/27,VAYYAKHEL,Exodus 36:20-37:16,Psalm 108 & 109,Acts 20,Wednesday,March,3,,,
3/4/27,VAYYAKHEL,Exodus 37:17-29,Psalm 110,Acts 21,Thursday,March,4,,,
3/5/27,VAYYAKHEL,Exodus 38:1-20 MAF: Numbers 19:1-22,HAF:Ezek 36:16-38  Shabbat Parah,Hebrews  9:11-14,Friday,March,5,,,
3/6/27,,,,,Saturday,March,6,,,
3/7/27,PEKUDEI,Exodus 38:21-39:21,Psalm 111 & 112,Acts 22,Sunday,March,7,,,
3/8/27,PEKUDEI,Exodus 39:22-32,Psalm 113 & 114,Acts 23,Monday,March,8,,,
3/9/27,PEKUDEI,Exodus 39:33-43,Psalm 115 & 116,Acts 24,Tuesday,March,9,,,
3/10/27,PEKUDEI,Exodus 40:1-16,Psalm 117 & 118,Acts 25,Wednesday,March,10,,,
3/11/27,PEKUDEI,Exodus 40:17-27,"Psalm 119:1-24  Aleph, Bet, Gimel,  ",Acts 26,Thursday,March,11,,,
3/12/27,PEKUDEI,Exodus 40:28-38,HAF:Ezekiel 45:16-46:18,1 Corinthians 5:6-8,Friday,March,12,,,
3/13/27,,,SHABBAT HA CHODESH,,Saturday,March,13,,,
3/14/27,VAYIKRA,Leviticus 1:1-2-6,"Psalm 119:25-48  Daleth, He, Waw",Acts 27 ,Sunday,March,14,,,
3/15/27,VAYIKRA,Leviticus 2:7-16,"Psalm 119:49-72  Zayin, Heth,Teth,",Acts 28,Monday,March,15,,,
3/16/27,VAYIKRA,Leviticus 3:1-17,"Psalm 119:73-96 Yodh, Kaph, Lamedh",Romans 1,Tuesday,March,16,,,
3/17/27,VAYIKRA,Leviticus 4:1-26,"Psalm 119:97-120 Mem, Nun, Samekh",Romans 2,Wednesday,March,17,,,
3/18/27,VAYIKRA,Leviticus 4:27-5:10,"Psalm 119:121-152 Ayin, Pe, Tsadhe, Qoph",Romans 3,Thursday,March,18,,,
3/19/27,VAYIKRA,Leviticus 5:11-26,HAF:Isaiah 43:21-44:23,John 8:31-47,Friday,March,19,,,
3/20/27,,,,,Saturday,March,20,,,
3/21/27,TZAV,Leviticus 6:1-7:10,"Psalm 119:153-176 Resh,Sin & Shin, Tav",Romans 4,Sunday,March,21,,,
3/22/27,TZAV,Leviticus 7:11-38,Psalm 120 & 121,Romans 5,Monday,March,22,,,
3/23/27,TZAV,Leviticus 8:1-13,Psalm 122 & 123 & 124,Romans 6,Tuesday,March,23,,,
3/24/27,TZAV,Leviticus 8:14-21,Psalms 125 & 126,Romans 7,Wednesday,March,24,,,
3/25/27,TZAV,Leviticus 8:22-29,Psalms 127 & 128,Romans 8,Thursday,March,25,,,
3/26/27,TZAV,Leviticus 8:30-36,Malachi 3:4-24,Luke 1:5-22,Friday,March,26,,,
3/27/27,,,SHABBAT HAGADOL,,Saturday,March,27,,,
3/28/27,SHIMINI,SHIMINI: Leviticus 9:1-23,Psalms 129 & 130,Romans 9,Sunday,March,28,,,
3/29/27,SHIMINI,Leviticus 9:24-10:11,Psalms 131 & 132,Romans 10,Monday,March,29,,,
3/30/27,SHIMINI,Leviticus10:12-15,Psalms 133 & 134,Romans 11,Tuesday,March,30,,,
3/31/27,SHIMINI,Leviticus 10:16-20,Psalm 135,Romans 12,Wednesday,March,31,,,
4/1/27,SHIMINI,Leviticus 11:1-32,Psalm 136,Romans 13,Thursday,April,1,,,
4/2/27,SHIMINI,Leviticus 11:33 -47,HAF: 2 Samuel 22:1-51,1 Corinthians 11:23-26,Friday,April,2,,,
